Key (DONT EDIT)	EN 	FR
male	male	homme
female	female	femme
years	y/o	ans
no apparent breathing	no apparent breathing	pas de respiration apparente
deep and rapid breathing	deep and rapid breathing	respiration ample et rapide
deep breathing	deep breathing	respiration ample
rapid breathing	rapid breathing	respiration rapide
respiration looks normal	respiration looks normal	la respiration semble normale
bleeds	bleeds	saigne
looks dead	looks dead	semble mort
lively	lively	alerte, vous regarde
apathetic	apathetic	peu alerte, réagi à la voix
closed eyes	closed eyes	yeux fermés
RECOVERY	Recovery	PLS
PRONE_DECUBITUS	Prone decubitus	Décubitus ventral
SUPINE_DECUBITUS	Supine decubitus	Décubitus dorsal
SITTING	Sitting	Assis 
STANDING	Standing	Debout
Positive Pressure	Positive Pressure	Pression positive 
pain	pain	douleur
vitals.motricity.leftArm	left arm motricity	motricité bras gauche
vitals.motricity.rightArm	right arm motricity	motricité bras droit
vitals.motricity.leftLeg	left leg motricity	Motricité jambe gauche
vitals.motricity.rightLeg	right leg motricity	motricité jambe droite
vitals.glasgow.motor	 - motor	 - moteur
vitals.glasgow.verbal	 - verbal	 - verbal
vitals.glasgow.eye	 - eye	 - occulare
vitals.glasgow.total	GCS	Glasgow
vitals.canWalk	Can you walk?	Pouvez-vous marcher ?
vitals.cardiacArrest	Cardiac arrest?	Arrêt cardiaque ?
vitals.cardio.MAP	MAP	PAM
vitals.cardio.hr	HR	FC
vitals.respiration.SaO2	SaO2	SaO2
vitals.respiration.SpO2	SpO2	SpO2
vitals.respiration.rr	RR	FR
vitals.capillaryRefillTime_s	CRT	TRC
vitals.respiration.PaO2	PaO2	PaO2
vitals.respiration.PaCO2	PaCO2	PaCO2
vitals.respiration.tidalVolume_L	Tidal volume	Volume courant
vitals.respiration.alveolarVolume_L	Efficient volume	Volume efficace
vitals.cardio.totalVolume_mL	Blood volume	Volémie
vitals.cardio.endSystolicVolume_mL	ESD	VTS
vitals.cardio.strokeVolume_mL	Stroke volume	Volume d'éjection
variables.ICP_mmHg	ICP	PIC
yes	yes	oui
no	no	non
move	Can move	Peut bouger
do_not_move	Can't move	Ne peut pas bouger
no_response	Does not respond to orders	Ne réponds pas aux ordres
