Key	EN	FR
location-chantier	Incident	Chantier
location-nidDeBlesses	Survivor reception center	Nid de blessés
location-nidDeBlesses-short	Survivor reception center	Nid blessés
location-PMA	Advanced medical post	Poste médical avancé
location-PMA-short	AMP	PMA
location-PC	Medical command post	Poste de commandement sanitaire
location-PC-short	Medical CP	PC San
location-ambulancePark	Ambulance park	Parc ambulance
location-helicopterPark	Helicopter park	Parc hélicoptère
location-meetingPoint	Meeting point	Point de rassemblement
location-remote	Remotely	À distance
location-access	Access	Accès
location-regress	Regress	Evacuation
sourceLocation	Location	Lieu
targetLocation	Destination	Destination
missingLocation	Missing {0}, resource {1} has no valid destination	Pas de {0}, la ressource {1} n'a pas de destination
