Key	EN	FR
secouriste	First aider	Secouriste
secouriste-short	First aider	Secouriste
technicienAmbulancier	Ambulance technician	Technicien ambulancier
technicienAmbulancier-short	Ambul. tech.	Tech. ambul.
ambulancier	Ambulance man	Ambulancier
ambulancier-short	Ambul. man	Ambul.
infirmier	Nurse	Infirmier
infirmier-short	Nurse	Infirmier
medecinJunior	Junior doctor	Médecin junior
medecinJunior-short	Junior doc.	Méd. junior
medecinSenior	Senior doctor	Médecin senior
medecinSenior-short	Senior doc.	Méd. senior
sendTo	Send to	Envoyer à
sending	Sending	Envoi de 
arrival-in	Arrival in	Arrivée dans
minutes	minute(s)	minute(s)
emergencyAmbulance	Emergency ambulance	Ambulance urgence
intermediateAmbulance	Intermediate ambulance	Ambulance intermédiaire
transferAmbulance	Transfer ambulance	Ambulance transfert
helicopter	Helicopter	Hélicoptère
smur	SMUR	SMUR
pma	PMA	PMA
pica	PICA	PICA
pcs	PCS	PCS
acs-mcs	ACS/MCS	ACS/MCS
